address,city,country,crawl_date,hotel_brand,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,pageurl,property_id,property_name,property_type,province,qts,room_count,room_type,similar_hotel,site_review_count,site_review_rating,site_stay_review_rating,sitename,special_tag,state,uniq_id,zone
"Bypass Road, Tharakandam Complex, Chottanikkara Mulanthuruthy Rd,Thrippunithura, 682312 Chottanikara, India – Show map",chottanikara,India,2016-09-01,"","Offering a children's playground and terrace, Lotus Tourist Home is located in Chottanikara. Cochin is 13 km from the property. Free private parking is available on site. All units feature a TV. Towels and bed linen are provided. Guests can enjoy the on-site restaurant, with packed lunches available on request. Alleppey is 45 km from Lotus Tourist Home, while Kumarakom is 39 km away. The nearest airport is Kochi International Airport, 25 km from Lotus Tourist Home.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Toilet|Shower•Bedroom:Wardrobe/Closet|Dressing Room•View:View•Outdoors:Terrace|Garden•Room Amenities:Sofa bed|Drying rack for clothing|Clothes rack•Pets:Free!
Pets are allowed on request. No extra charges.•Activities:Children's playground•Living Area:Sofa|Desk•Media & Technology:Cable Channels|TV•Food & Drink:Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Daily maid service|Airport shuttle (surcharge)|Private check-in/check-out|Car hire|Packed lunches|24-hour front desk|Meeting/banquet facilities|Room service•General:Tile/Marble floor|Soundproofing|Private entrance|Soundproof rooms|Fan","",3,9.93286056729875,"",76.38895064592361,http://www.booking.com/hotel/in/lotus-tourist-home.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1746730,Lotus Tourist Home,221,"",2016-09-01 11:52:38 +0000,2,Budget Double Room,Indraprastha Residency,"","","",http://www.booking.com/,Share,Kerala,ca8103b4e3612fafc4fd1c2772d7a0da,""
"8433, Arya Nagar, Street No. 1, Behind Bank Of India, Pahar Ganj, Paharganj, 110055 New Delhi, India – This neighbourhood is a great choice for travellers interested in city trips, sightseeing, and shopping – Check location Show map",new delhi,India,2016-09-01,"","Swisston Inn is located in New Delhi, 2.2 km from the bustling and colourful streets of Chandni Chowk. Guests can enjoy the on-site restaurant. Every room is equipped with a cable TV. Some units feature a seating area for your convenience. Swisston Inn features free WiFi . You will find a 24-hour front desk at the property. Services like laundry and dry cleaning are provided at the property. The hotel also offers car hire. Red Fort is 6.2 km from Swisston Inn, while Feroz Shah Kotla Cricket Stadium is 3.6 km away. The nearest airport is Delhi International Airport, 15.3 km from the property. Paharganj is a great choice for travellers interested in city trips, sightseeing and shopping.","Bathroom:Towels|Towels/Sheets (extra fee)|Bath or Shower|Slippers|Shower•Bedroom:Wardrobe/Closet•Room Amenities:Clothes rack•Pets:Pets are allowed. Charges may be applicable.•Living Area:Desk•Media & Technology:Cable Channels|TV•Food & Drink:Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:No parking available.•Reception services:Ticket service|Currency exchange|24-hour front desk•Cleaning services:Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Airport shuttle (surcharge)|Air conditioning|Wake-up service|Tile/Marble floor|Car hire|Interconnected room(s) available|Fan|Family rooms|Newspapers|Room service•Languages spoken:",3-star hotel,10,28.64556080820192,Paharganj,77.21303656697273,http://www.booking.com/hotel/in/swisston-inn-new-delhi.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1743072,Swisston Inn,204,Paharganj,2016-09-01 11:52:38 +0000,27,Budget Double Room,Hotel Sita International,"","","",http://www.booking.com/,Share,Delhi NCR,9ded3231fc80823a0e4dd775151323ee,Paharganj
"313/B,Shindewadi,milkat no.594 Next to neera River, 412801 Shirwal, India – Show map",shirwal,India,2016-09-01,"","Featuring free WiFi and a children's playground, Hotel Vegas offers pet-friendly accommodation in Shirwal, 40 km from Pune. Guests can enjoy the on-site restaurant. Every room at this hotel is air conditioned and has a flat-screen TV with satellite channels. Certain units include a seating area where you can relax. You will find a coffee machine in the room. Every room is equipped with a private bathroom. There is a 24-hour front desk at the property. The hotel also offers car hire. Mahābaleshwar is 42 km from Hotel Vegas, while Wai is 26 km from the property. The nearest airport is Pune International Airport, 46 km from Hotel Vegas.","Bathroom:Toilet paper|Towels|Towels/Sheets (extra fee)|Bath or Shower|Bathroom|Shower•Bedroom:Wardrobe/Closet|Dressing Room•View:Riverview|Garden view•Outdoors:Balcony|Garden•Kitchen:Children's high chair|Dining table|Coffee machine|Cleaning products•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are allowed on request. Charges may be applicable.•Activities:Children's playground|Games room•Living Area:Desk•Media & Technology:Flat-screen TV|Cable Channels|Satellite Channels|Telephone|TV•Food & Drink:Special diet menus (on request)|Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Breakfast in the room|Bar|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Reception services:Lockers|Private check-in/check-out|24-hour front desk•Cleaning services:Daily maid service|Ironing service|Dry cleaning|Laundry•Business facilities:Meeting/banquet facilities•General:Adult only|Air conditioning|Non-smoking throughout|Mosquito net|Wake-up service|Hardwood/Parquet floors|Tile/Marble floor|Car hire|Packed lunches|Carpeted|Bridal suite|Fan|Ironing Facilities|Trouser Press|Room service•Languages spoken:",3-star hotel,"",18.17251574976873,"",73.95371625199914,http://www.booking.com/hotel/in/vegas.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1758769,Hotel Vegas,204,"",2016-09-01 11:52:38 +0000,23,Premium Double Room,"","","","",http://www.booking.com/,Share,Maharashtra,e8d5d3f0fc6ada88e4f535c6f129f9ee,""
"92 Barog, District Solan, National Highway, 173211 Solan, India – Show map",solan,India,2016-09-01,"","One of our bestsellers in Solan! Featuring free WiFi, a restaurant and a barbecue, Ellays Dream Resort offers accommodation in Solan. Guests can enjoy the on-site restaurant. Free private parking is available on site. The rooms include a flat-screen TV. Some units feature a seating area for your convenience. A terrace or balcony are featured in certain rooms. Each room is equipped with a private bathroom fitted with a shower. For your comfort, you will find slippers and free toiletries. There is a 24-hour front desk at the property. You can play billiards at this resort, and car hire is available. The nearest airport is Chandigarh Airport, 36 km from Ellays Dream Resort.","Bathroom:Toilet paper|Linen|Towels|Slippers|Bathroom|Toilet|Free toiletries|Hairdryer|Shower•Bedroom:Wardrobe/Closet•View:City view|View•Outdoors:Sun terrace|Barbecue|BBQ facilities|Balcony|Terrace•Kitchen:Shared kitchen•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Evening entertainment|Nightclub/DJ|Entertainment staff|Cycling|Billiards•Living Area:Seating Area|Desk•Media & Technology:Flat-screen TV|Satellite Channels|Telephone|Pay-per-view Channels•Food & Drink:Snack bar|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Private check-in/check-out|Concierge service|Luggage storage|Ticket service|Tour desk|Currency exchange|Express check-in/check-out|24-hour front desk•Entertainment and family services:Babysitting/child services•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Shared lounge/TV area|Shuttle service (surcharge)|Designated smoking area|Wake-up service|Heating|Tile/Marble floor|Soundproofing|Car hire|Packed lunches|Soundproof rooms|Safety deposit box|VIP room facilities|Family rooms|Facilities for disabled guests|Non-smoking rooms|Newspapers|Room service•Languages spoken:","",18,30.88878834346683,"",77.07588672164309,http://www.booking.com/hotel/in/ellays-dream-resort.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1756328,Ellays Dream Resort,206,"",2016-09-01 11:52:38 +0000,10,Standard Double Room,Snow Valley Resorts|Hotel Sai|Torrentium Lodge,"","","",http://www.booking.com/,Share,Himachal Pradesh,e52984ad3d8aaab5c1e8e445cba7cb0a,""
"Jaipur Road, Opp. Traffic Police Thana, Hanumangarh Town, 335513 Hanumāngarh, India – Show map",hanumāngarh,India,2016-09-01,"","Featuring free WiFi, Singla Hotel offers accommodation in Hanumāngarh. Guests can enjoy the on-site restaurant. Free private parking is available on site. Every room at this hotel is air conditioned and is equipped with a TV with satellite channels. Every room is fitted with a private bathroom. There is a 24-hour front desk at the property.","Bathroom:Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Toilet|Shower•Bedroom:Dressing Room•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Media & Technology:Satellite Channels|Telephone|TV•Food & Drink:Restaurant•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Wake-up service|Ironing service|Laundry|Wake Up Service/Alarm Clock|24-hour front desk|Room service•General:Air conditioning|Heating|Tile/Marble floor|Soundproofing|Lift|Fan|Facilities for disabled guests",3-star hotel,"",29.581924711630627,"",74.32301670312881,http://www.booking.com/hotel/in/singla.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1739709,Singla Hotel,204,"",2016-09-01 11:52:38 +0000,14,Deluxe Room,"","","","",http://www.booking.com/,Share,Rajasthan,1ceed77df41658648c5315d8e7550845,""
"No 66, Gokulam Road, Jayalakshmipuram Near BM Habitat Mall, 570012 Mysore, India – Show map",mysore,India,2016-09-01,"","Mangrove Suites offers accommodation in Mysore. Guests can enjoy the on-site restaurant. Every room at this bed and breakfast is air conditioned and comes with a TV. Enjoy a cup of tea from your terrace or balcony. Each room includes a private bathroom. This bed and breakfast features both free WiFi and free private parking. You will find a 24-hour front desk at the property. Mysore Palace is 4 km from Mangrove Suites, while Brindavan Garden is 12 km from the property.","Bathroom:Toilet paper|Towels|Bathroom|Toilet|Free toiletries•Outdoors:Outdoor dining area|Terrace•Kitchen:Shared kitchen|Electric kettle•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Media & Technology:TV•Food & Drink:Restaurant (buffet)|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible at a location nearby (reservation is needed).•Services:Daily maid service|Packed lunches|24-hour front desk|Room service•General:Air conditioning|Mosquito net|Heating|Fan|Non-smoking rooms•Languages spoken:","",12,12.321649373580373,"",76.62168806804402,http://www.booking.com/hotel/in/mangrove-suites.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1736190,Mangrove Suites,208,"",2016-09-01 11:52:38 +0000,15,Superior Twin Room,National Residency|Southern Star,101,7.1,"",http://www.booking.com/,Share,Karnataka,f9f9954e0b334a51c81271ce8bad194c,""
"Plot No.53, Sector - A, Canal South Road, Metropolitan Byepass, 700105 Kolkata, India – Show map",kolkata,India,2016-09-01,"","The Broadstreet Broadway Metropolitan is set in Kolkata, 5 km from Park Street and 5 km from New Market. Guests can enjoy the on-site restaurant. Every room at this hotel is air conditioned and is fitted with a TV with satellite channels. Rooms are equipped with a private bathroom fitted with a shower. The Broadstreet Broadway Metropolitan features free WiFi throughout the property. There is a 24-hour front desk at the property. Eden Gardens is 6 km from The Broadstreet Broadway Metropolitan, while Indian Museum is 6 km away. Netaji Subhash Chandra Bose International Airport is 11 km from the property.","Bathroom:Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Free toiletries|Shower•Bedroom:Wardrobe/Closet•View:View•Pets:Pets are not allowed.•Media & Technology:Satellite Channels|Telephone|TV•Food & Drink:Restaurant (buffet)|Tea/Coffee Maker•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is needed).•Services:Daily maid service|Shared lounge/TV area|Wake-up service|Ironing service|Laundry|24-hour front desk|Room service•General:Air conditioning|Non-smoking throughout|Tile/Marble floor|Soundproofing|Lift|Fan","",3,22.55942658042401,"",88.39889824390411,http://www.booking.com/hotel/in/the-broadstreet-broadway-metropolitan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1738007,The Broadstreet Broadway Metropolitan,204,"",2016-09-01 11:52:38 +0000,3,Deluxe Single Room,Ghosh Guest House,206,6.8,"",http://www.booking.com/,Share,West Bengal,5bc5189a52fb9ae80e4db6187b3e8e4e,""
"Kodiyat Road, Near Ananta resort and Spa, 313001 Udaipur, India – Great location -",udaipur,India,2016-09-01,"","Offering a year-round outdoor swimming pool, Atulya Niwas is situated 2.8 km from Sajjangarh Fort. Guests can enjoy the on-site restaurant. Free private parking is available on site. Every room at this hotel is air conditioned and comes with a flat-screen TV. Some units have a seating area to relax in after a busy day. You will find a kettle in the room. Each room comes with a private bathroom equipped with a shower. For your comfort, you will find free toiletries and a hair dryer. There is a business centre at the property. The hotel also offers car hire. Room service is available. Lake Pichhola is 5 km from Atulya Niwas, while Bagore ki Haveli is 6 km from the property. Maharana Pratap Airport is 27 km away.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bathroom|Free toiletries|Hairdryer|Shower•Bedroom:Wardrobe/Closet•Outdoors:Outdoor pool (seasonal)|Outdoor pool (all year)|Sun terrace|BBQ facilities|Terrace•Kitchen:Electric kettle•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Fireplace|Seating Area|Desk•Media & Technology:Flat-screen TV|Telephone•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|Concierge service|Luggage storage|Ticket service|Tour desk•Cleaning services:Ironing service|Dry cleaning|Laundry•Business facilities:Business centre|Meeting/banquet facilities•General:Tile/Marble floor|Car hire|Lift|Fan|Facilities for disabled guests|Newspapers|Air Conditioning|Room service",3-star hotel,"",24.57135832840975,"",73.62560514360666,http://www.booking.com/hotel/in/atulya-niwas.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1740371,Atulya Niwas,204,"",2016-09-01 11:52:38 +0000,39,Deluxe Double Room,Udai Kothi|Madri Haveli,277,8.8,"",http://www.booking.com/,Share,Rajasthan,bc992cd3c90fd78fdbd67c16e5289da3,""
"59 Sathiya Sai Nagar Lovedale, 643003 Coimbatore, India – Show map",coimbatore,India,2016-09-01,"","Glen View Home Stay is situated in Coimbatore, 7 km from Codissia Trade Fair Complex and 1.9 km from KG Hospital. Free private parking is available on site. Each room includes a flat-screen TV with satellite channels. Some rooms have a seating area for your convenience. A terrace or balcony are featured in certain rooms. Rooms have a private bathroom equipped with a bath or shower. There is a shared lounge at the property. Brookefields Mall is 3.5 km from GLEN VIEW HOME STAY, while Fun Republic Mall is 4.2 km away. The nearest airport is Coimbatore International Airport, 7 km from Glen View Home Stay.","Bathroom:Toilet paper|Linen|Towels|Bidet|Towels/Sheets (extra fee)|Bath or Shower|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet•View:Mountain view|Garden view|View•Outdoors:Sun terrace|Terrace|Garden•Kitchen:Cleaning products•Room Amenities:Drying rack for clothing|Clothes rack•Pets:Pets are not allowed.•Living Area:Seating Area•Media & Technology:Flat-screen TV|Satellite Channels|TV•Food & Drink:Breakfast in the room•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Daily maid service|Shared lounge/TV area|Private check-in/check-out|Packed lunches|Express check-in/check-out|Room service•General:Non-smoking throughout|Heating|Tile/Marble floor|Soundproofing|Fan|Non-smoking rooms•Languages spoken:","","",10.994201229811816,"",76.98805839325405,http://www.booking.com/hotel/in/glen-view-home-stay.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1758796,Glen View Home Stay,208,"",2016-09-01 11:52:38 +0000,8,Standard Double Room,Treebo ESS Grande,"","","",http://www.booking.com/,Share,Tamil Nadu,e6994ed7c1b5e2d75bb78f2fc3d605af,""
"Above Dezire Showroom, 1st, Flr. Novagully, Varca, Salcette, Goa, 403721 Varca, India – Show map",varca,India,2016-09-01,"","F. D. Dezire offers accommodation in Varca. Calangute is 39 km from the property. The accommodation is equipped with a flat-screen TV. There is also a dining area and a kitchen equipped with an oven, a microwave, and a toaster. Bed linen is provided. The property has water sports facilities and bike hire and car hire are available. Panaji is 32 km from F. D. Dezire. Goa International Airport is 21 km away.",Miscellaneous:Air conditioning|Bridal suite•Bathroom:Toilet paper|Linen|Towels|Bidet•Bedroom:Wardrobe/Closet|Dressing Room•Outdoors:Garden•Building characteristics:Private flat in building•Kitchen:Dining table|Stovetop|Oven|Kitchenware|Kitchen|Washing Machine|Microwave|Refrigerator•Accessibility:Upper floors accessible by stairs only•Room Amenities:Drying rack for clothing|Clothes rack|Tile/Marble floor|Fan|Iron•Outdoor & View:City view|Landmark view|View•Pets:Pets are not allowed.•Activities:Water sport facilities (on site)|Fishing•Living Area:Dining area|Desk•Media & Technology:Flat-screen TV|Video|TV•Internet:No internet access available.•Parking:No parking available.•Transport:Airport shuttle (surcharge)|Shuttle service (surcharge)|Car hire|Bicycle rental•Languages spoken:,"",14,15.236210350774707,"",73.94311398267746,http://www.booking.com/hotel/in/f-d-dezire.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1752403,F. D. Dezire,201,"",2016-09-01 11:52:38 +0000,2,One-Bedroom Apartment,Veeniola Holiday Home,36,6.7,"",http://www.booking.com/,Share,Goa,1f4c2a8d31473c36de79b42423797b5f,""
"A-35 San colony opp railway station small line., Civil Lines, 302006 Jaipur, India – This neighbourhood is a great choice for travellers interested in food, shopping for art, and city trips – Check location Show map",jaipur,India,2016-09-01,"","One of our bestsellers in Jaipur! Hotel bharat palace is located in Jaipur, 1.7 km from Sindhi Camp. Guests can enjoy the on-site restaurant. Free private parking is available on site. All rooms are equipped with a TV with cable channels. The rooms are fitted with a private bathroom. You will find a 24-hour front desk, a cash machine, hairdresser's and gift shop at the property. The hotel also offers car hire. Bani Park is 2.4 km from hotel bharat palace, while Birla Mandir Temple, Jaipur is 3.1 km away. The nearest airport is Jaipur International Airport, 10 km from the property. Civil Lines is a great choice for travellers interested in food, shopping for art and city trips.","Bathroom:Toilet paper|Towels|Bath or Shower|Bathroom|Toilet|Free toiletries|Bath|Shower•Outdoors:Sun terrace•Kitchen:Shared kitchen•Pets:Pets are not allowed.•Media & Technology:Cable Channels|Telephone|TV•Food & Drink:Special diet menus (on request)|Breakfast in the room|Restaurant•Internet:WiFi is available in some hotel rooms and costs  INR  50 per  24 hours.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:ATM/cash machine on site|Luggage storage|Ticket service|Tour desk|Express check-in/check-out|24-hour front desk•Cleaning services:Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Paid WiFi|Adult only|Mini-market on site|Airport shuttle (surcharge)|Shuttle service (surcharge)|Electric blankets|Air conditioning|Shops (on site)|Private entrance|Car hire|Packed lunches|Interconnected room(s) available|Gift shop|Fan|Family rooms|Barber/beauty shop|Ironing Facilities|Iron|Newspapers|Room service•Languages spoken:",1-star hotel,"",26.909610606794715,Civil Lines,75.7906061410904,http://www.booking.com/hotel/in/bharat-palace-jaipur.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1758805,hotel bharat palace,204,Civil Lines,2016-09-01 11:52:38 +0000,16,Deluxe Double Room (2 Adults + 1 Child),Khandela Paying Guesthouse|Hotel Kalyan|Vinayak Guest House,42,7.9,"",http://www.booking.com/,Share,Rajasthan,3cca4cf4f301119ff9d0b37b2fffac40,Civil Lines
"TC 68/1883-1 Koprapura Road, Pachalloor Bye Pass, 695027 Tiruvallam, India – Show map",tiruvallam,India,2016-09-01,"","Featuring free WiFi throughout the property, Oceana Homestay offers pet-friendly accommodation in Tiruvallam, 8 km from Trivandrum. Free private parking is available on site. All rooms have a TV. A terrace or balcony are featured in certain rooms. The rooms are fitted with a private bathroom fitted with a bath. You will find a 24-hour front desk at the property. Varkala is 44 km from Oceana Homestay, while Kovalam is 3.5 km away. Thiruvananthapuram International Airport is 8 km from the property.","Bathroom:Toilet paper|Towels|Bath or Shower|Bathroom|Toilet|Bath|Shower•Bedroom:Wardrobe/Closet•View:Pool view|Garden view|Sea view|View•Outdoors:Terrace|Balcony|Garden•Kitchen:Cleaning products|Microwave|Refrigerator•Room Amenities:Sofa bed|Drying rack for clothing|Clothes rack•Pets:Pets are allowed. Charges may be applicable.•Activities:Evening entertainment•Living Area:Dining area|Sofa|Desk•Media & Technology:Computer|TV•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Daily maid service|24-hour front desk•Entertainment and family services:Baby safety gates|Child safety socket covers•General:Mosquito net|Tile/Marble floor|Carpeted|Heating|Fan|Ironing Facilities|Air Conditioning|Safety Deposit Box","","",8.42713736454081,"",76.9610819220542,http://www.booking.com/hotel/in/oceana-homestay.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1736869,Oceana Homestay,222,"",2016-09-01 11:52:38 +0000,2,Deluxe Double Room,Vijaya Varma Beach Resort,40,7.9,"",http://www.booking.com/,Share,Kerala,53c70a7191475b4dd3ebee2418479277,""
"",kāla,India,2016-09-01,"","","",1 stars,"",17.1861552103326,"",74.1333711147308,http://www.booking.com/hotel/in/super-cozy-i-bhk.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,"","",City,"",2016-09-01 11:52:38 +0000,"",Deluxe Double Room,"","",8.4,"",http://www.booking.com/,"",Maharashtra,f18b864192f8c17fff40dbb31ec63989,""
