#,Type,Name,Class,Year,Status,Base,Url
121,Guided Missile Cruiser,Moskva,Slava,1979,Sunk,,https://en.wikipedia.org/wiki/Russian_cruiser_Moskva
,Anti-Saboteur Boat,P-345 Buyevlyanin,Raptor,,Ukrainian officials released 3 separate footages showing 6 Raptor-class boats damaged/destroyed,,
,Anti-Saboteur Boat,P-352,Raptor,,Ukrainian officials released 3 separate footages showing 6 Raptor-class boats damaged/destroyed,,
,Anti-Saboteur Boat,P-425,Raptor,,Ukrainian officials released 3 separate footages showing 6 Raptor-class boats damaged/destroyed,,
,Anti-Saboteur Boat,P-331,Flamingo,,,,
,Anti-Saboteur Boat,P-407,Flamingo,,,,
609,Guided Missile Corvette,Vyshniy Volochyok,Buyan-M,2018,Active as of 2022,,
615,Guided Missile Corvette,Bora,Dergach,1989,In refit as of September 2021,,
616,Guided Missile Corvette,Samum,Dergach,2000,Active,,
626,Guided Missile Corvette,Orekhovo-Zuyevo,Buyan-M,2018,Reported in the Mediterranean as of May 2022,,
630,Guided Missile Corvette,Ingushetiya,Buyan-M,2019,Active as of 2022,,
600,Guided Missile Corvette,Grayvoron,Buyan-M,2021,Active as of 2022,,
633,Missile Corvette,Tsiklon,Karakurt,Projected early 2022,Builder trials complete; state sea trials out of Sevastopol beginning January 2022,,
,Missile Boat,Shuya,Tarantul-II Mod,,,,
,Missile Boat,R-60,Tarantul-III,,Active as of 2022,,
,Missile Boat,R-109,Tarantul-III,,,,
,Missile Boat,Naberezhnye Chelny,Tarantul-III,,Active combat operations as of February 2022,,
,Missile Boat,Ivanovets,Tarantul-III,,,,
053,Small Antisubmarine Ship,Povorino,Grisha III,,,,
054,Small Antisubmarine Ship,Eysk,Grisha-III,,Active combat operations as of February 2022,,
055,Small Antisubmarine Ship,Kasimov,Grisha-III,,Active as of 2022,,
368,Patrol ship,Vasily Bykov,Project 22160,,On active operations as of March 2022.,,https://en.wikipedia.org/wiki/Russian_patrol_boat_Vasily_Bykov
375,Patrol ship,Dmitriy Rogachev,Project 22160,,Returned to the Black Sea from Mediterranean February 2022,,
363,Patrol ship,Pavel Derzhavin,Project 22160,,Active combat operations as of February 2022,,
383,Patrol ship,Sergey Kotov,Project 22160,,Reported commissioned May 2022,,
901,Seagoing Minesweeper,Anatoliy Zheleznyakov,Gorya,,Active as of 2021,,
770,Seagoing Minesweeper,Valentin Pikul,Natya I Mod,,Active as of 2022,,
908,Seagoing Minesweeper,Vice-Admiral Zakharin,Pr.02668 (Natya),,Returned to the Black Sea from Mediterranean February 2022,,
458,Base Minesweeper,Mineralnyye Vody (BT-241),Sonya,,Unclear if active,,
442?,Base Minesweeper,BT-726,Sonya,,Unclear if active,,
575,Landing Craft,D-144,Serna,,"Ukrainian officials released video of a Serna Class landing craft being destroyed by a Bayrakhtar TB2 drone at Snake Island in early May, 2022.",,
659,Landing Craft,D-199,Serna,,"Ukrainian officials released video of a Serna Class landing craft being destroyed by a Bayrakhtar TB2 drone at Snake Island in early May, 2022.",,
653,Landing Craft,D-106,Ondatra,,,,
840,Anti-Saboteur Boat,Kadet,Grachonok,,,,
841,Anti-Saboteur Boat,Suvorovets,Grachonok,,,,
842,Anti-Saboteur Boat,Kursant Kirovets,Grachonok,,,,
?,Anti-Saboteur Boat,P-274,Raptor,,Ukrainian officials released 3 separate videos showing 6 Raptor-class boats damaged/destroyed,,
?,Anti-Saboteur Boat,P-275,Raptor,,Ukrainian officials released 3 separate videos showing 6 Raptor-class boats damaged/destroyed,,
?,Anti-Saboteur Boat,P-276,Raptor,,Ukrainian officials released 3 separate videos showing 6 Raptor-class boats damaged/destroyed,,
512,Intelligence Vessel,Kil'din,Moma,,,,
?,Intelligence Vessel,Ekvator,Moma,,,,
201,Intelligence Vessel,Priazovye,Vishnya class,,Active as of 2021,,
?,Intelligence Vessel,Ivan Khurs,Yury Ivanov class,,Active as of 2021,,
?,Fleet Oiler,Ivan Bubnov,Project 1559V Morskoy prostor,1975,Active as of 2021,,
?,Fleet Oiler,Istra,Dora,1942,Transferred to the Soviet Union from Germany as part of war reparations; still reported in service,,
?,Fleet Oiler,Koyda,Uda,1966,,,
?,Fleet Oiler,Iman,Project 6404,1966,Active as of 2021,,
?,Fleet Oiler,Vice Admiral Paromov,Project 03182,2021,Deployed in the Mediterranean as of May 2022,,
?,Logistics Support Vessel,Vsevolod Bobrov,Project 23120,2021,Arrived in the Black Sea January 2022,,
?,Floating Ship Repair Factory,PM-56,Project 304,1973,Active as of 2022,,
?,Floating Ship Repair Factory,PM-138,Project 304,1969,Active as of 2022,,
?,Hydrographic Survey Vessel,Donuzlav,Yug (Project 862),,Active as of 2022,,
?,Hydrographic Survey Vessel,Stvor,Yug (Project 862),,,,
?,Hydrographic Survey Vessel,Cheleken,Moma (Project 861),,,,
